BOND_AGENT,ID,STATUS_DATE,BOND_AMOUNT
A BONDING COMPANY,HAL817,03/13/2022,"$12,500.00"
A BONDING COMPANY,HOW590,09/15/2022,"$4,000.00"
A FREE-MAN BONDING COMPANY,HAL817,03/13/2022,"$22,500.00"
A FREE-MAN BONDING COMPANY,HEN450,03/20/2022,"$3,000.00"
A FREE-MAN BONDING COMPANY,LAM294,03/30/2022,"$1,500.00"
A FREE-MAN BONDING COMPANY,MEL935,09/20/2022,"$1,500.00"
A FREE-MAN BONDING COMPANY,NAT263,07/24/2022,"$1,500.00"
A FREE-MAN BONDING COMPANY,HOR956,07/31/2022,"$1,500.00"
A FREE-MAN BONDING COMPANY,HUD991,07/31/2022,"$2,000.00"
A FREE-MAN BONDING COMPANY,HAY441,08/16/2022,"$7,000.00"
A FREE-MAN BONDING COMPANY,COR985,08/24/2022,"$1,500.00"
A FREE-MAN BONDING COMPANY,DUN174,09/02/2022,"$22,500.00"
A FREE-MAN BONDING COMPANY,WOE222,09/22/2022,"$1,500.00"
A-1 BONDING CO.,BUR940,09/13/2022,"$1,100.00"
A-1 BONDING CO.,JOH668,08/09/2022,"$2,000.00"
A-1 BONDING CO.,BUR192,09/13/2022,"$1,000.00"
A-1 BONDING CO.,BUR632,01/06/2022,"$1,000.00"
A-1 BONDING CO.,THO351,05/25/2022,$500.00
A-1 BONDING CO.,GOU728,04/08/2022,"$1,500.00"
A-1 BONDING CO.,THO626,05/25/2022,"$5,000.00"
A-1 BONDING CO.,HOL632,01/07/2022,"$1,000.00"
A-1 BONDING CO.,JOH513,01/16/2022,"$3,500.00"
A-1 BONDING CO.,HIC580,02/06/2022,"$3,000.00"
A-1 BONDING CO.,WHI624,02/18/2022,"$3,500.00"
A-1 BONDING CO.,PET433,03/03/2022,"$2,500.00"
A-1 BONDING CO.,RIC112,03/06/2022,"$5,500.00"
A-1 BONDING CO.,NUN103,03/17/2022,"$5,000.00"
A-1 BONDING CO.,MOT638,08/24/2022,"$7,500.00"
A-1 BONDING CO.,WIL462,04/12/2022,"$7,500.00"
A-1 BONDING CO.,SHA505,04/22/2022,"$10,000.00"
A-1 BONDING CO.,MOS802,04/15/2022,"$3,000.00"
A-1 BONDING CO.,COO945,04/17/2022,"$1,500.00"
A-1 BONDING CO.,SOL967,04/18/2022,"$3,000.00"
A-1 BONDING CO.,CUL022,04/19/2022,"$1,500.00"
A-1 BONDING CO.,MAR680,04/30/2022,"$1,500.00"
A-1 BONDING CO.,WHI730,04/25/2022,"$2,000.00"
A-1 BONDING CO.,WIL588,07/01/2022,"$3,000.00"
A-1 BONDING CO.,LAY976,05/05/2022,"$2,000.00"
A-1 BONDING CO.,BLE701,05/12/2022,"$3,000.00"
A-1 BONDING CO.,DYE848,07/08/2022,"$5,000.00"
A-1 BONDING CO.,PAC564,06/12/2022,"$20,000.00"
A-1 BONDING CO.,DYE136,07/08/2022,"$5,000.00"
